BOURAIL;GNIREP.7;OBS;71.47;;AB-152;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.8;OBS;73.09;;AB-153;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.9;OBS;78.02;;AB-154;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.10;OBS;79.52;;AB-154 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.58;GRA;;;AB-154 b;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.11;OBS;82.14;;AB-154 c;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.60;OBS;95.78;;AB-155;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.62;GRA;;;AB-156 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.175;OBS;72.09;;AB-158;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.63;OBS;71.22;;AB-158 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.64;OBS;74.73;;AB-159 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.65;OBS;73.78;;AB-159 bis;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.67;OBS;78.97;;AB-160;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.68;OBS;74.46;;AB-160 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.69;OBS;63.93;;AB-160 b;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.42;GRA;;;AB-160 c;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.43;GRA;;;AB-160 d;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.44;GRA;;;AB-160 e;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.45;GRA;;;AB-160 f;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.176;GRA;;;AB-160 g;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.46;GRA;;;AB-161;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.47;GRA;;;AB-161 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.48;GRA;;;AB-161 bis;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.70;ADAP;;;AB-161 bis a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.49;OBS;68.32;;AB-161 bis b;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.50;GRA;;;AB-162;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.51;OBS;65.92;;AB-163;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.177;GRA;;;AB-163 I;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.71;GRA;;;AB-163 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.72;GRA;;;AB-164 ter;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.169;GRA;;;AB-165;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.73;OBS;70.13;;AB-165 ter;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.74;GRA;;;AB-166 ter;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.75;GRA;;;AB-166 ter a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.76;OBS;81.40;;AB-167;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.77;OBS;83.08;;AB-167 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.78;OBS;85.09;;AB-168 bis;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.79;OBS;89.09;;AB-169;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.80;OBS;94.00;;AB-169 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.81;OBS;117.63;;AB-170;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.82;GRA;;;AB-170 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.83;GRA;;;AB-171;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.84;GRA;;;AB-172;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.85;OBS;175.61;;AB-172 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.86;OBS;142.46;;AB-173;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.170;GRA;;;AB-174 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.87;OBS;146.57;;AB-175;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.88;OBS;127.00;;AB-176;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.89;OBS;122.95;;AB-176 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.171;GRA;;;AB-177 I;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.90;GRA;;;AB-178;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.12;GRA;;;AB-178 a;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.13;ADAP;;;AB-179;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.14;OBS;138.10;;AB-179 bis;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.15;OBS;114.11;;AB-180;;BOURAIL;NIVELLEMENT;RCNC
