IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
FOA_INFRA_GEOREP.9,ADAP,,TUBE,25- 57,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.20,OBS,187.244,BF,25- 58,./,FARINO,GEODESIE,RDNC
FOA_INFRA_GEOREP.21,ADAP,,TUBE,25- 58,a,FARINO,GEODESIE,RDNC
FOA_INFRA_GEOREP.240,ADAP,,BF,25- 59,./,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.241,ADAP,,TUBE,25- 59,a,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.212,ADAP,,BF,25- 60,./,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.213,ADAP,,TUBE,25- 60,a,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.25,OBS,490.631,BF,25- 61,./,FARINO,GEODESIE,RDNC
FOA_INFRA_GEOREP.27,OBS,630.785,BF,25- 62,./,SARRAMEA,GEODESIE,RDNC
FOA_INFRA_GEOREP.28,ADAP,,TUBE,25- 62,a,SARRAMEA,GEODESIE,RDNC
FOA_INFRA_GEOREP.29,ADAP,,BF,25- 63,./,FARINO,GEODESIE,
FOA_INFRA_GEOREP.30,ADAP,,TUBE,25- 63,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.67,OBS,138.876,BF,25- 64,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.192,OBS,242.86,BF,25- 65,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.193,ADAP,,RAIL,25- 65,a,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.194,ADAP,,TUBE,25- 65,b,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.214,ADAP,,BF,25- 66,./,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.215,ADAP,,TUBE,25- 66,a,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.216,OBS,586.061,BF,25- 67,./,SARRAMEA,GEODESIE,RDNC
FOA_INFRA_GEOREP.217,ADAP,,TUBE,25- 67,a,SARRAMEA,GEODESIE,RDNC
FOA_INFRA_GEOREP.195,ADAP,,BF,25- 68,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.196,ADAP,,TUBE,25- 68,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.197,ADAP,,BF,25- 69,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.198,ADAP,,TUBE DANS TAS PIERRES,25- 69,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.199,ADAP,,BF,25- 70,./,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.200,ADAP,,TUBE,25- 70,b,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.201,ADAP,,TUBE,25- 70,c,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.202,ADAP,,TUBE,25- 70,d,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.68,OBS,206.585,BF,25- 71,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.69,ADAP,,TUBE,25- 71,a,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.70,OBS,144.225,BF,25- 72,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.71,ADAP,,BF,25- 72,a,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.203,ADAP,,BF,25- 73,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.204,ADAP,,TUBE,25- 73,a,FOA_INFRA_GEODESIE,
