IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
DUM_INFRA_GPOREP.50,ADAP,,,33-IV -1119,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.51,OBS,,,33-IV -1120,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.81,ADAP,,,33-IV -1120,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.52,,,,33-IV -1121,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.53,,,,33-IV -1121,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.54,,,,33-IV -1121,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.55,OBS,,,33-IV -1123,b,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.82,ADAP,,,33-IV -1123,./,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.83,OBS,,,33-IV -1123,c,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.87,OBS,78.14,,33-IV -1123,d,DUM_INFRA_POLYGONATION,RCNC
DUM_INFRA_GPOREP.56,,,,33-IV -1124,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.57,OBS,,,33-IV -1125,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.84,ADAP,,,33-IV -1125,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.73,ADAP,,,33-IV -1126,c,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.74,ADAP,,,33-IV -1126,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.75,ADAP,,,33-IV -1126,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.58,,,,33-IV -1127,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.59,ADAP,,,33-IV -1127,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.60,,,,33-IV -1128,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.85,OBS,,,33-IV -1131,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.63,,,,33-IV -1135,a,DUM_INFRA_POLYGONATION,
